date,value
2022-08-20,81912.744
2022-08-21,81914.68
2022-08-22,81914.68
2022-08-23,81914.68
2022-08-24,81959.074
2022-08-25,81965.558
2022-08-26,81966.558
2022-08-27,81966.558
2022-08-28,81989.3085
2022-08-29,81989.3085
2022-08-30,82022.685
2022-08-31,82004.083
2022-09-01,82002.091
2022-09-02,82002.091
2022-09-03,82002.091
2022-09-04,81960.3495
2022-09-05,81904.654
2022-09-06,81821.744
2022-09-07,81580.442
2022-09-08,81202.24925000001
2022-09-09,80559.70566666668
2022-09-10,78559.70550000001
2022-09-11,75471.01299999999
2022-09-12,72889.27933333332
2022-09-13,72601.6235
2022-09-14,72499.25
2022-09-15,72668.496
2022-09-16,72652.1
2022-09-17,72566.453
2022-09-18,72479.219
2022-09-19,72545.19099999999
2022-09-20,72491.349
2022-09-21,72499.156
2022-09-22,72454.474
2022-09-23,72757.496
2022-09-24,72757.496
2022-09-25,72684.134
2022-09-26,72624.3255
2022-09-27,72420.11200000001
2022-09-28,72196.1905
2022-09-29,72149.453
2022-09-30,71847.548
2022-10-01,71579.11975
2022-10-02,71307.73666666668
2022-10-03,70943.23475
2022-10-04,70072.2225
2022-10-05,69667.46549999999
2022-10-06,69225.8245
2022-10-07,69085.459
2022-10-08,69086.741
2022-10-09,69140.121
2022-10-10,69164.386
2022-10-11,69043.559
2022-10-12,69010.475
2022-10-13,69010.475
2022-10-14,69031.865
2022-10-15,69031.673
2022-10-16,69174.363
2022-10-17,69157.658
2022-10-18,69157.658
2022-10-19,69157.174
2022-10-20,69163.548
2022-10-21,69266.432
2022-10-22,69324.839
2022-10-23,69367.208
2022-10-24,69288.00450000001
2022-10-25,69237.21
2022-10-26,69254.9795
2022-10-27,69254.9795
2022-10-28,69239.117
2022-10-29,69241.926
2022-10-30,69241.926
2022-10-31,69214.177
2022-11-01,69233.414
2022-11-02,69294.683
2022-11-03,69294.683
2022-11-04,69288.947
2022-11-05,69283.51
2022-11-06,69280.494
2022-11-07,69282.005
2022-11-08,69303.515
2022-11-09,69210.2535
2022-11-10,68365.9086
2022-11-11,65489.5514
2022-11-12,65489.5514
2022-11-13,64718.23
2022-11-14,64693.737
2022-11-15,64693.737
2022-11-16,64702.884
2022-11-17,64703.316
2022-11-18,64701.422
2022-11-19,64696.775
2022-11-20,64696.775
2022-11-21,64703.265
2022-11-22,64703.265
2022-11-23,64468.545
2022-11-24,64468.545
2022-11-25,64473.829
2022-11-26,64473.829
2022-11-27,64554.964
2022-11-28,64554.964
2022-11-29,64557.575
2022-11-30,64566.483
2022-12-01,64578.481
2022-12-02,64580.848
2022-12-03,64547.901
2022-12-04,64612.854
2022-12-05,64612.17
2022-12-06,64612.17
2022-12-07,64641.512
2022-12-08,64641.512
2022-12-09,64647.083
2022-12-10,64649.18
2022-12-11,64651.168
2022-12-12,64649.744
2022-12-13,64637.554
2022-12-14,64689.662
2022-12-15,64700.466
2022-12-16,64701.77
2022-12-17,64703.253
2022-12-18,64705.324
2022-12-19,64706.461
2022-12-20,64710.506
2022-12-21,64722.864
2022-12-22,64723.109
2022-12-23,64734.543
2022-12-24,64742.883
2022-12-25,64744.412
2022-12-26,64743.874
2022-12-27,64739.02
2022-12-28,64742.655
2022-12-29,64745.108
2022-12-30,64744.561
2022-12-31,64769.649
2023-01-01,64769.757
2023-01-02,64776.504
2023-01-03,64791.189
2023-01-04,64783.261
2023-01-05,64793.111
2023-01-06,64801.861
2023-01-07,64810.539000000004
2023-01-08,64805.536
2023-01-09,64805.912
2023-01-10,64853.417
2023-01-11,64853.863
2023-01-12,64857.06
2023-01-13,64892.096000000005
2023-01-14,64889.572
2023-01-15,64891.108
2023-01-16,64895.575
2023-01-17,64903.218
2023-01-18,64918.52
2023-01-19,64921.21
2023-01-20,64920.821
2023-01-21,64922.856
2023-01-22,64926.022
2023-01-23,64938.351
2023-01-24,64943.981
2023-01-25,64950.848
2023-01-26,64963.154
2023-01-27,64963.179
2023-01-28,64965.368
2023-01-29,64973.211
2023-01-30,64988.632
2023-01-31,64997.366
2023-02-01,64997.366
2023-02-02,65001.073
2023-02-03,65005.298
2023-02-04,65030.716
